"","Yp1","Yp2","Ym1","Ym2","Yo1","Yo2","Tp1","Tp2","NTp1","NTp2","Tm1","Tm2","NTm1","NTm2"
"Yp1",2.059569718581,0.415522316925143,0.8238278874324,0.325709555770828,1.34553966787075,0.38072954172345,0.189873161122526,0.061719882520839,0.189873161122526,0.061719882520839,0.0755737817095169,0.0476976619831558,0.0755737817095169,0.0476976619831558
"Yp2",0.415522316925143,1.28772910384313,0.325709555770828,0.386318731152939,0.464695611189489,0.532818125117214,0.0354731801380195,0.186127358669851,0.0354731801380195,0.186127358669851,0.0292726462589698,0.0560116028100325,0.0292726462589698,0.0560116028100325
"Ym1",0.8238278874324,0.325709555770828,2.059569718581,0.415522316925143,1.34553966787075,0.38072954172345,0.0755737817095169,0.0476976619831558,0.0755737817095169,0.0476976619831558,0.189873161122526,0.061719882520839,0.189873161122526,0.061719882520839
"Ym2",0.325709555770828,0.386318731152939,0.415522316925143,1.28772910384313,0.464695611189489,0.532818125117214,0.0292726462589698,0.0560116028100325,0.0292726462589698,0.0560116028100325,0.0354731801380195,0.186127358669851,0.0354731801380195,0.186127358669851
"Yo1",1.34553966787075,0.464695611189489,1.34553966787075,0.464695611189489,2.059569718581,0.415522316925143,0.189874862967145,0.0617195443407434,0.0898748629671448,0.0617195443407434,0.189874862967145,0.0617195443407434,0.0898748629671448,0.0617195443407434
"Yo2",0.38072954172345,0.532818125117214,0.38072954172345,0.532818125117214,0.415522316925143,1.28772910384313,0.0354734770627078,0.186126910174392,0.0354734770627078,0.0519628315244044,0.0354734770627078,0.186126910174392,0.0354734770627078,0.0519628315244044
"Tp1",0.189873161122526,0.0354731801380195,0.0755737817095169,0.0292726462589698,0.189874862967145,0.0354734770627078,0.506934181767085,0.00428807669848135,0.00693418176708546,0.00428807669848135,0.00693418176708546,0.00428807669848135,0.00693418176708546,0.00428807669848135
"Tp2",0.061719882520839,0.186127358669851,0.0476976619831558,0.0560116028100325,0.0617195443407434,0.186126910174392,0.00428807669848135,0.508121422053944,0.00428807669848135,0.00812142205394386,0.00428807669848135,0.00812142205394386,0.00428807669848135,0.00812142205394386
"NTp1",0.189873161122526,0.0354731801380195,0.0755737817095169,0.0292726462589698,0.0898748629671448,0.0354734770627078,0.00693418176708546,0.00428807669848135,0.506934181767085,0.00428807669848135,0.00693418176708546,0.00428807669848135,0.00693418176708546,0.00428807669848135
"NTp2",0.061719882520839,0.186127358669851,0.0476976619831558,0.0560116028100325,0.0617195443407434,0.0519628315244044,0.00428807669848135,0.00812142205394386,0.00428807669848135,0.508121422053944,0.00428807669848135,0.00812142205394386,0.00428807669848135,0.00812142205394386
"Tm1",0.0755737817095169,0.0292726462589698,0.189873161122526,0.0354731801380195,0.189874862967145,0.0354734770627078,0.00693418176708546,0.00428807669848135,0.00693418176708546,0.00428807669848135,0.506934181767085,0.00428807669848135,0.00693418176708546,0.00428807669848135
"Tm2",0.0476976619831558,0.0560116028100325,0.061719882520839,0.186127358669851,0.0617195443407434,0.186126910174392,0.00428807669848135,0.00812142205394386,0.00428807669848135,0.00812142205394386,0.00428807669848135,0.508121422053944,0.00428807669848135,0.00812142205394386
"NTm1",0.0755737817095169,0.0292726462589698,0.189873161122526,0.0354731801380195,0.0898748629671448,0.0354734770627078,0.00693418176708546,0.00428807669848135,0.00693418176708546,0.00428807669848135,0.00693418176708546,0.00428807669848135,0.506934181767085,0.00428807669848135
"NTm2",0.0476976619831558,0.0560116028100325,0.061719882520839,0.186127358669851,0.0617195443407434,0.0519628315244044,0.00428807669848135,0.00812142205394386,0.00428807669848135,0.00812142205394386,0.00428807669848135,0.00812142205394386,0.00428807669848135,0.508121422053944
